starttime	seconds	ctime	dtime	ttime	wait
Sun Nov 05 17:46:27 2023	1699195587	0	23	23	6
Sun Nov 05 17:46:27 2023	1699195587	0	30	30	30
Sun Nov 05 17:46:27 2023	1699195587	1	44	45	44
Sun Nov 05 17:46:27 2023	1699195587	0	46	46	46
Sun Nov 05 17:46:27 2023	1699195587	1	45	46	45
Sun Nov 05 17:46:27 2023	1699195587	1	46	46	46
Sun Nov 05 17:46:27 2023	1699195587	0	48	48	48
Sun Nov 05 17:46:27 2023	1699195587	0	68	68	68
Sun Nov 05 17:46:27 2023	1699195587	0	71	71	71
Sun Nov 05 17:46:27 2023	1699195587	1	89	90	89
Sun Nov 05 17:46:27 2023	1699195587	0	155	155	155
Sun Nov 05 17:46:27 2023	1699195587	0	155	155	155
Sun Nov 05 17:46:27 2023	1699195587	0	155	155	155
Sun Nov 05 17:46:27 2023	1699195587	0	156	156	156
Sun Nov 05 17:46:27 2023	1699195587	0	161	161	161
Sun Nov 05 17:46:27 2023	1699195587	1	161	161	161
Sun Nov 05 17:46:27 2023	1699195587	0	175	175	175
Sun Nov 05 17:46:27 2023	1699195587	0	185	185	185
Sun Nov 05 17:46:27 2023	1699195587	0	186	186	186
Sun Nov 05 17:46:27 2023	1699195587	0	194	194	194
Sun Nov 05 17:46:29 2023	1699195589	0	194	194	194
Sun Nov 05 17:46:27 2023	1699195587	0	195	195	195
Sun Nov 05 17:46:27 2023	1699195587	1	194	195	194
Sun Nov 05 17:46:27 2023	1699195587	0	195	195	195
Sun Nov 05 17:46:27 2023	1699195587	1	196	196	196
Sun Nov 05 17:46:27 2023	1699195587	0	200	200	200
Sun Nov 05 17:46:27 2023	1699195587	0	200	200	200
Sun Nov 05 17:46:27 2023	1699195587	0	201	201	201
Sun Nov 05 17:46:27 2023	1699195587	0	203	203	203
Sun Nov 05 17:46:27 2023	1699195587	0	204	204	204
Sun Nov 05 17:46:27 2023	1699195587	1	204	204	204
Sun Nov 05 17:46:27 2023	1699195587	0	205	205	205
Sun Nov 05 17:46:27 2023	1699195587	0	205	205	205
Sun Nov 05 17:46:27 2023	1699195587	1	205	205	205
Sun Nov 05 17:46:27 2023	1699195587	1	205	206	205
Sun Nov 05 17:46:27 2023	1699195587	1	207	208	207
Sun Nov 05 17:46:27 2023	1699195587	0	208	208	208
Sun Nov 05 17:46:27 2023	1699195587	0	211	211	211
Sun Nov 05 17:46:30 2023	1699195590	0	214	214	214
Sun Nov 05 17:46:30 2023	1699195590	0	214	214	214
Sun Nov 05 17:46:27 2023	1699195587	0	215	215	215
Sun Nov 05 17:46:27 2023	1699195587	0	216	216	216
Sun Nov 05 17:46:30 2023	1699195590	0	218	218	218
Sun Nov 05 17:46:27 2023	1699195587	0	220	220	220
Sun Nov 05 17:46:27 2023	1699195587	0	226	226	226
Sun Nov 05 17:46:27 2023	1699195587	1	226	226	226
Sun Nov 05 17:46:27 2023	1699195587	0	228	228	228
Sun Nov 05 17:46:30 2023	1699195590	0	228	228	228
Sun Nov 05 17:46:30 2023	1699195590	0	228	228	228
Sun Nov 05 17:46:30 2023	1699195590	0	228	228	228
Sun Nov 05 17:46:30 2023	1699195590	0	228	228	228
Sun Nov 05 17:46:30 2023	1699195590	0	228	228	228
Sun Nov 05 17:46:30 2023	1699195590	0	228	228	228
Sun Nov 05 17:46:27 2023	1699195587	0	228	228	228
Sun Nov 05 17:46:30 2023	1699195590	0	229	229	229
Sun Nov 05 17:46:30 2023	1699195590	0	229	229	229
Sun Nov 05 17:46:27 2023	1699195587	1	229	229	229
Sun Nov 05 17:46:27 2023	1699195587	0	230	230	230
Sun Nov 05 17:46:27 2023	1699195587	0	230	230	230
Sun Nov 05 17:46:30 2023	1699195590	0	231	231	231
Sun Nov 05 17:46:27 2023	1699195587	1	232	232	232
Sun Nov 05 17:46:27 2023	1699195587	0	233	233	233
Sun Nov 05 17:46:27 2023	1699195587	0	234	234	234
Sun Nov 05 17:46:27 2023	1699195587	0	234	234	233
Sun Nov 05 17:46:27 2023	1699195587	1	236	237	236
Sun Nov 05 17:46:27 2023	1699195587	0	238	238	238
Sun Nov 05 17:46:27 2023	1699195587	0	238	238	238
Sun Nov 05 17:46:27 2023	1699195587	0	238	238	238
Sun Nov 05 17:46:27 2023	1699195587	0	239	239	239
Sun Nov 05 17:46:27 2023	1699195587	0	241	241	241
Sun Nov 05 17:46:27 2023	1699195587	1	241	242	241
Sun Nov 05 17:46:27 2023	1699195587	0	243	243	243
Sun Nov 05 17:46:27 2023	1699195587	0	243	243	243
Sun Nov 05 17:46:27 2023	1699195587	1	245	245	245
Sun Nov 05 17:46:27 2023	1699195587	0	247	247	247
Sun Nov 05 17:46:28 2023	1699195588	0	250	250	250
Sun Nov 05 17:46:28 2023	1699195588	0	250	250	250
Sun Nov 05 17:46:28 2023	1699195588	0	250	250	250
Sun Nov 05 17:46:27 2023	1699195587	0	251	251	251
Sun Nov 05 17:46:29 2023	1699195589	0	253	253	253
Sun Nov 05 17:46:27 2023	1699195587	0	253	253	253
Sun Nov 05 17:46:28 2023	1699195588	0	254	254	254
Sun Nov 05 17:46:29 2023	1699195589	0	255	255	255
Sun Nov 05 17:46:28 2023	1699195588	0	255	255	255
Sun Nov 05 17:46:30 2023	1699195590	0	257	257	257
Sun Nov 05 17:46:28 2023	1699195588	0	258	258	258
Sun Nov 05 17:46:30 2023	1699195590	0	258	258	257
Sun Nov 05 17:46:30 2023	1699195590	0	258	258	258
Sun Nov 05 17:46:29 2023	1699195589	0	258	258	258
Sun Nov 05 17:46:29 2023	1699195589	0	258	258	258
Sun Nov 05 17:46:30 2023	1699195590	0	259	259	259
Sun Nov 05 17:46:28 2023	1699195588	0	259	259	259
Sun Nov 05 17:46:28 2023	1699195588	0	259	259	259
Sun Nov 05 17:46:28 2023	1699195588	0	259	259	259
Sun Nov 05 17:46:28 2023	1699195588	0	260	260	260
Sun Nov 05 17:46:28 2023	1699195588	0	260	260	260
Sun Nov 05 17:46:28 2023	1699195588	0	260	260	260
Sun Nov 05 17:46:28 2023	1699195588	0	261	261	261
Sun Nov 05 17:46:28 2023	1699195588	0	261	261	261
Sun Nov 05 17:46:29 2023	1699195589	0	261	261	261
Sun Nov 05 17:46:28 2023	1699195588	0	262	262	262
Sun Nov 05 17:46:30 2023	1699195590	0	262	262	262
Sun Nov 05 17:46:30 2023	1699195590	0	262	262	262
Sun Nov 05 17:46:28 2023	1699195588	0	263	263	263
Sun Nov 05 17:46:28 2023	1699195588	0	263	263	262
Sun Nov 05 17:46:29 2023	1699195589	0	263	263	262
Sun Nov 05 17:46:28 2023	1699195588	0	263	263	263
Sun Nov 05 17:46:28 2023	1699195588	0	263	263	263
Sun Nov 05 17:46:30 2023	1699195590	0	263	263	263
Sun Nov 05 17:46:30 2023	1699195590	0	263	263	263
Sun Nov 05 17:46:28 2023	1699195588	0	263	263	263
Sun Nov 05 17:46:28 2023	1699195588	0	263	263	263
Sun Nov 05 17:46:27 2023	1699195587	0	263	263	263
Sun Nov 05 17:46:29 2023	1699195589	0	264	264	264
Sun Nov 05 17:46:29 2023	1699195589	0	264	264	264
Sun Nov 05 17:46:30 2023	1699195590	0	264	264	264
Sun Nov 05 17:46:28 2023	1699195588	0	264	264	264
Sun Nov 05 17:46:27 2023	1699195587	0	264	264	264
Sun Nov 05 17:46:30 2023	1699195590	0	265	265	265
Sun Nov 05 17:46:28 2023	1699195588	0	265	265	265
Sun Nov 05 17:46:28 2023	1699195588	0	265	265	265
Sun Nov 05 17:46:28 2023	1699195588	0	265	265	265
Sun Nov 05 17:46:28 2023	1699195588	0	265	265	265
Sun Nov 05 17:46:27 2023	1699195587	0	266	266	266
Sun Nov 05 17:46:27 2023	1699195587	1	266	266	266
Sun Nov 05 17:46:28 2023	1699195588	0	266	266	266
Sun Nov 05 17:46:28 2023	1699195588	0	266	266	266
Sun Nov 05 17:46:28 2023	1699195588	0	266	266	266
Sun Nov 05 17:46:28 2023	1699195588	0	266	266	266
Sun Nov 05 17:46:29 2023	1699195589	0	266	266	266
Sun Nov 05 17:46:28 2023	1699195588	0	267	267	267
